User: unknown
Title :  
Absorbance		
Wavelength	OE1_CHANNEL1	
305.000000	0.857301
306.000000	0.864246
307.000000	0.863451
308.000000	0.859035
309.000000	0.846985
310.000000	0.831122
311.000000	0.803617
312.000000	0.791748
313.000000	0.794222
314.000000	0.811668
315.000000	0.862419
316.000000	0.888145
317.000000	0.900059
318.000000	0.878102
319.000000	0.875428
320.000000	0.883000
321.000000	0.910472
322.000000	0.942693
323.000000	0.980187
324.000000	1.019459
325.000000	1.062958
326.000000	1.084442
327.000000	1.086746
328.000000	1.067852
329.000000	1.041359
330.000000	1.011355
331.000000	0.965720
332.000000	0.951923
333.000000	0.962490
334.000000	0.997349
335.000000	1.087804
336.000000	1.132119
337.000000	1.149966
338.000000	1.109602
339.000000	1.109970
340.000000	1.128074
341.000000	1.186740
342.000000	1.233476
343.000000	1.272519
344.000000	1.301106
345.000000	1.306682
346.000000	1.336176
347.000000	1.375473
348.000000	1.432161
349.000000	1.484308
350.000000	1.534139
351.000000	1.584581
352.000000	1.617651
353.000000	1.635956
354.000000	1.642438
355.000000	1.629849
356.000000	1.641634
357.000000	1.663515
358.000000	1.708817
359.000000	1.735876
360.000000	1.754340
361.000000	1.750376
362.000000	1.761065
363.000000	1.779877
364.000000	1.806654
365.000000	1.852053
366.000000	1.872832
367.000000	1.880749
368.000000	1.867649
369.000000	1.862689
370.000000	1.860162
371.000000	1.863415
372.000000	1.868291
373.000000	1.876229
374.000000	1.884548
375.000000	1.899486
376.000000	1.919998
377.000000	1.945043
378.000000	1.981706
379.000000	2.001680
380.000000	2.010474
381.000000	1.999523
382.000000	1.994939
383.000000	1.992957
384.000000	1.998023
385.000000	2.002203
386.000000	2.006276
387.000000	2.009975
388.000000	2.013086
389.000000	2.016429
390.000000	2.020128
391.000000	2.021814
392.000000	2.028756
393.000000	2.038970
394.000000	2.056524
395.000000	2.069206
396.000000	2.077353
397.000000	2.080527
398.000000	2.076453
399.000000	2.074673
400.000000	2.073267
401.000000	2.073339
402.000000	2.073753
403.000000	2.075086
404.000000	2.076863
405.000000	2.080609
406.000000	2.086070
407.000000	2.093066
408.000000	2.101746
409.000000	2.110223
410.000000	2.118501
411.000000	2.127342
412.000000	2.133316
413.000000	2.137182
414.000000	2.137237
415.000000	2.138715
416.000000	2.141334
417.000000	2.145339
418.000000	2.151816
419.000000	2.157187
420.000000	2.162412
421.000000	2.166746
422.000000	2.172044
423.000000	2.177825
424.000000	2.184654
425.000000	2.190860
426.000000	2.196515
427.000000	2.201514
428.000000	2.205714
429.000000	2.209661
430.000000	2.213363
431.000000	2.216304
432.000000	2.220486
433.000000	2.225488
434.000000	2.232583
435.000000	2.238397
436.000000	2.243252
437.000000	2.247122
438.000000	2.248615
439.000000	2.252848
440.000000	2.258353
441.000000	2.267056
442.000000	2.273181
443.000000	2.277849
444.000000	2.278677
445.000000	2.281446
446.000000	2.285490
447.000000	2.290840
448.000000	2.299872
449.000000	2.303946
450.000000	2.305571
451.000000	2.301697
452.000000	2.302053
453.000000	2.304757
454.000000	2.312278
455.000000	2.318839
456.000000	2.324792
457.000000	2.329566
458.000000	2.333055
459.000000	2.334513
460.000000	2.334425
461.000000	2.330937
462.000000	2.331008
463.000000	2.333292
464.000000	2.340668
465.000000	2.345977
466.000000	2.349953
467.000000	2.352384
468.000000	2.351037
469.000000	2.353796
470.000000	2.358285
471.000000	2.367193
472.000000	2.372258
473.000000	2.375153
474.000000	2.373560
475.000000	2.373447
476.000000	2.374372
477.000000	2.376796
478.000000	2.380862
479.000000	2.386642
480.000000	2.393743
481.000000	2.404701
482.000000	2.410559
483.000000	2.413250
484.000000	2.408048
485.000000	2.408075
486.000000	2.411799
487.000000	2.419457
488.000000	2.435233
489.000000	2.443739
490.000000	2.449194
491.000000	2.447284
492.000000	2.450778
493.000000	2.456955
494.000000	2.468971
495.000000	2.479416
496.000000	2.489000
497.000000	2.497208
498.000000	2.503266
499.000000	2.509177
500.000000	2.514607
501.000000	2.518264
502.000000	2.525059
503.000000	2.533832
504.000000	2.547479
505.000000	2.557868
506.000000	2.565785
507.000000	2.570977
508.000000	2.571323
509.000000	2.575131
510.000000	2.580162
511.000000	2.587778
512.000000	2.594344
513.000000	2.600532
514.000000	2.606071
